날짜,9호선,역이름,타는인원,내린 인원
20190326,9호선,신논현,35658,36127
20190326,9호선,사평,3822,3722
20190326,9호선,고속터미널,13397,19157
20190326,9호선,신반포,3532,3542
20190326,9호선,구반포,3764,3957
20190326,9호선,동작(현충원),2240,1733
20190326,9호선,흑석(중앙대입구),13489,13643
20190326,9호선,노들,5363,4674
20190326,9호선,노량진,32287,32683
20190326,9호선,샛강,5982,6199
20190326,9호선,여의도,26905,26906
20190326,9호선,국회의사당,20692,20394
20190326,9호선,당산,22035,21531
20190326,9호선,선유도,8476,8279
20190326,9호선,신목동,4865,4335
20190326,9호선,염창,19319,18926
20190326,9호선,등촌,12020,12086
20190326,9호선,증미,8321,8420
20190326,9호선,가양,24337,23813
20190326,9호선,양천향교,10658,10807
20190326,9호선,마곡나루,11150,11166
20190326,9호선,신방화,8586,8393
20190326,9호선,공항시장,3264,3704
20190326,9호선,김포공항,9715,11990
20190326,9호선,개화,8329,5327
