날짜,공항철도 1호선,역이름,타는인원,내린 인원
20190326,공항철도 1호선,영종,2698,2717
20190326,공항철도 1호선,인천공항2터미널,5114,4291
20190326,공항철도 1호선,인천공항1터미널,16760,15278
20190326,공항철도 1호선,공항화물청사,2932,3321
20190326,공항철도 1호선,운서,7294,7398
20190326,공항철도 1호선,청라국제도시,7280,6965
20190326,공항철도 1호선,검암,9353,8975
20190326,공항철도 1호선,계양,13030,12085
20190326,공항철도 1호선,김포공항,10946,7744
20190326,공항철도 1호선,마곡나루,6397,5623
20190326,공항철도 1호선,디지털미디어시티,17826,14704
20190326,공항철도 1호선,홍대입구,11978,11842
20190326,공항철도 1호선,공덕,2526,3510
20190326,공항철도 1호선,서울역,13432,11042
