날짜,분당선,역이름,타는인원,내린 인원
20190326,분당선,매교,3109,3191
20190326,분당선,수원시청,12615,13985
20190326,분당선,매탄권선,5536,5242
20190326,분당선,망포,16724,15499
20190326,분당선,영통,11421,11893
20190326,분당선,청명,5151,4835
20190326,분당선,상갈,6791,6212
20190326,분당선,기흥,12998,12656
20190326,분당선,신갈,5736,5573
20190326,분당선,구성,6014,6003
20190326,분당선,죽전,19476,21408
20190326,분당선,보정,3426,2871
20190326,분당선,이매,7074,6610
20190326,분당선,오리,15017,12790
20190326,분당선,미금,19692,21385
20190326,분당선,정자,19995,21447
20190326,분당선,수내,16317,16387
20190326,분당선,서현,30545,31073
20190326,분당선,야탑,32539,34370
20190326,분당선,모란,25067,24741
20190326,분당선,태평,15957,15605
20190326,분당선,가천대,15011,16499
20190326,분당선,선정릉,9436,10536
20190326,분당선,강남구청,11340,13077
20190326,분당선,압구정로데오,17884,20081
20190326,분당선,서울숲,9260,9078
20190326,분당선,수원,10355,6751
20190326,분당선,복정,1,0
20190326,분당선,수서,15917,16034
20190326,분당선,대모산입구,4004,3546
20190326,분당선,개포동,3743,3864
20190326,분당선,구룡,2228,2193
20190326,분당선,도곡,8130,8377
20190326,분당선,한티,16361,17626
20190326,분당선,선릉,13215,22672
