날짜,8호선,역이름,타는인원,내린 인원
20190326,8호선,모란,4824,3625
20190326,8호선,수진,5842,5454
20190326,8호선,신흥,5131,5473
20190326,8호선,단대오거리,13978,12956
20190326,8호선,남한산성입구(성남법원.검찰청),18454,17418
20190326,8호선,산성,6746,6567
20190326,8호선,복정,14481,12030
20190326,8호선,장지,21282,20069
20190326,8호선,문정,23623,24738
20190326,8호선,가락시장,9234,10728
20190326,8호선,송파,10559,10336
20190326,8호선,석촌,9327,10786
20190326,8호선,잠실(송파구청),16237,18639
20190326,8호선,몽촌토성(평화의문),7158,7489
20190326,8호선,강동구청,12474,12796
20190326,8호선,천호(풍납토성),20683,22889
20190326,8호선,암사,22175,19611
