날짜,경춘선,역이름,타는인원,내린 인원
20190326,경춘선,춘천,2208,1978
20190326,경춘선,남춘천,2986,3100
20190326,경춘선,김유정,368,360
20190326,경춘선,강촌,652,620
20190326,경춘선,백양리,92,128
20190326,경춘선,굴봉산,161,163
20190326,경춘선,가평,2034,2077
20190326,경춘선,상천,322,321
20190326,경춘선,청평,1969,1815
20190326,경춘선,대성리,631,553
20190326,경춘선,마석,4770,4622
20190326,경춘선,천마산,1867,1728
20190326,경춘선,평내호평,7196,7135
20190326,경춘선,금곡,1945,1874
20190326,경춘선,사릉,4395,4209
20190326,경춘선,퇴계원,4312,3904
20190326,경춘선,별내,3043,3001
20190326,경춘선,갈매,3321,2836
20190326,경춘선,신내,1033,1069
